github.com/cespare/xxhash/v2,https://github.com/cespare/xxhash/blob/v2.3.0/LICENSE.txt,MIT
github.com/dgryski/go-rendezvous,https://github.com/dgryski/go-rendezvous/blob/9f7001d12a5f/LICENSE,MIT
github.com/dromara/carbon/v2,https://github.com/dromara/carbon/blob/v2.6.2/LICENSE,MIT
github.com/go-kratos/kratos/v2/log,https://github.com/go-kratos/kratos/blob/v2.8.4/LICENSE,MIT
github.com/go-pantheon/fabrica-util,https://github.com/go-pantheon/fabrica-util/blob/HEAD/LICENSE,MIT
github.com/golang/snappy,https://github.com/golang/snappy/blob/v1.0.0/LICENSE,BSD-3-Clause
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.18.0/LICENSE,Apache-2.0
github.com/klauspost/compress/internal/snapref,https://github.com/klauspost/compress/blob/v1.18.0/internal/snapref/LICENSE,BSD-3-Clause
github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.18.0/zstd/internal/xxhash/LICENSE.txt,MIT
github.com/pkg/errors,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,BSD-2-Clause
github.com/redis/go-redis/v9,https://github.com/redis/go-redis/blob/v9.7.3/LICENSE,BSD-2-Clause
github.com/spaolacci/murmur3,https://github.com/spaolacci/murmur3/blob/v1.1.0/LICENSE,BSD-3-Clause
github.com/speps/go-hashids/v2,https://github.com/speps/go-hashids/blob/v2.0.1/LICENSE,MIT
github.com/xdg-go/pbkdf2,https://github.com/xdg-go/pbkdf2/blob/v1.0.0/LICENSE,Apache-2.0
github.com/xdg-go/scram,https://github.com/xdg-go/scram/blob/v1.1.2/LICENSE,Apache-2.0
github.com/xdg-go/stringprep,https://github.com/xdg-go/stringprep/blob/v1.0.4/LICENSE,Apache-2.0
github.com/youmark/pkcs8,https://github.com/youmark/pkcs8/blob/a2c0da244d78/LICENSE,MIT
go.mongodb.org/mongo-driver/v2,https://github.com/mongodb/mongo-go-driver/blob/v2.2.0/LICENSE,Apache-2.0
go.uber.org/atomic,https://github.com/uber-go/atomic/blob/v1.11.0/LICENSE.txt,MIT
golang.org/x/crypto,https://cs.opensource.google/go/x/crypto/+/v0.37.0:LICENSE,BSD-3-Clause
golang.org/x/sync,https://cs.opensource.google/go/x/sync/+/v0.13.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.24.0:LICENSE,BSD-3-Clause

# Note: Project self-module (github.com/go-pantheon/fabrica-util) was automatically ignored version warning when generating report
